n1,n2,i1,i2,v_in
400,600,0.046,0.027,1
400,600,0.093,0.057,2
400,600,0.141,0.087,3
400,600,0.188,0.116,4
400,600,0.235,0.145,5
400,600,0.283,0.175,6
400,600,0.329,0.205,7
400,600,0.376,0.234,8
400,600,0.422,0.264,9
400,600,0.468,0.293,10
400,400,0.046,0.041,1
400,400,0.092,0.085,2
400,400,0.139,0.129,3
400,400,0.185,0.152,4
400,400,0.231,0.193,5
400,400,0.278,0.246,6
400,400,0.323,0.280,7
400,400,0.369,0.325,8
400,400,0.414,0.389,9
400,400,0.460,0.432,10
400,200,0.039,0.074,1
400,200,0.081,0.151,2
400,200,0.123,0.229,3
400,200,0.164,0.303,4
400,200,0.205,0.380,5
400,200,0.248,0.460,6
400,200,0.290,0.537,7
400,200,0.331,0.616,8
400,200,0.374,0.699,9
400,200,0.416,0.778,10